"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"ATMEGA328P-AUR","Microchip Technology","ATMEGA328P-AURCT-ND","","","Cut Tape (CT)","Active","1","2.08000","$2.08","7276","7 Weeks","IC MCU 8BIT 32KB FLASH 32TQFP","ROHS3 Compliant","Lead free","REACH Unaffected"
"ADXL345BCCZ","Analog Devices Inc.","ADXL345BCCZ-ND","","","Tray","Active","1","7.33000","$7.33","2906","16 Weeks","ACCEL 2-16G I2C/SPI 14LGA","ROHS3 Compliant","Lead free","REACH Unaffected"
"DS1308U-33+","Maxim Integrated","DS1308U-33+-ND","","","Tube","Active","1","4.05000","$4.05","1547","6 Weeks","IC RTC CLK/CALENDAR I2C 8-UMAX","ROHS3 Compliant","Lead free","REACH Unaffected"
"601000200","Seeed Technology Co., Ltd","1597-1594-1-ND","","","Cut Tape (CT)","Active","12","0.41800","$5.01","3438","37 Weeks","ADDRESS LED DISCRET SERIAL R/G/B","RoHS Compliant","Lead free","Not Available"
"MCP1700T-3302E/TT","Microchip Technology","MCP1700T3302ETTCT-ND","","","Cut Tape (CT)","Active","1","0.37000","$0.37","38685","10 Weeks","IC REG LINEAR 3.3V 250MA SOT23-3","ROHS3 Compliant","Lead free","REACH Unaffected"
"LTR-329ALS-01","Lite-On Inc.","160-2160-1-ND","","","Cut Tape (CT)","Active","1","1.06000","$1.06","20273","12 Weeks","SENSOR OPT AMBIENT 4DFN","ROHS3 Compliant","Lead free","Not Available"
"2N7002P,215","Nexperia USA Inc.","1727-4692-1-ND","","","Cut Tape (CT)","Active","1","0.17000","$0.17","207515","4 Weeks","MOSFET N-CH 60V 0.36A SOT-23","ROHS3 Compliant","Lead free","REACH Unaffected"
"ECS-80-18-30B-JEM-TR","ECS Inc.","XC2105CT-ND","","","Cut Tape (CT)","Active","1","0.72000","$0.72","685","15 Weeks","CRYSTAL 8.0000MHZ 18PF SMD","ROHS3 Compliant","Lead free","Not Available"
"830-10-020-10-004000","Mill-Max Manufacturing Corp.","ED1354-ND","","","Tube","Active","1","6.13000","$6.13","157","3 Weeks","CONN SPRING TARGET 20POS PCB","ROHS3 Compliant","Lead free","REACH Unaffected"
"MS412FE-FL26E","Seiko Instruments","728-1053-ND","","","Tray","Active","1","1.82000","$1.82","17200","13 Weeks","BATTERY LITH 3V 1MAH COIN 4.8MM","ROHS3 Compliant","Lead free","Not Available"
"CC0402DRNPO9BN8R0","Yageo","311-1639-1-ND","","","Cut Tape (CT)","Active","10","0.03000","$0.30","107033","33 Weeks","CAP CER 8PF 50V C0G/NPO 0402","ROHS3 Compliant","Lead free","REACH Unaffected"
"ABS06-32.768KHZ-T","Abracon LLC","535-10104-1-ND","","","Cut Tape (CT)","Active","1","1.17000","$1.17","47157","29 Weeks","CRYSTAL 32.7680KHZ 12.5PF SMD","RoHS Compliant","Lead free","REACH Unaffected"
"RC0402JR-0710KL","Yageo","311-10KJRCT-ND","","","Cut Tape (CT)","Active","9","0.10000","$0.90","976688","24 Weeks","RES SMD 10K OHM 5% 1/16W 0402","ROHS3 Compliant","Lead free","REACH Unaffected"
"GJM1555C1HR10BB01D","Murata Electronics","490-3077-1-ND","","","Cut Tape (CT)","Active","10","0.11300","$1.13","1776","11 Weeks","CAP CER 0.1PF 50V C0G/NP0 0402","ROHS3 Compliant","Lead free","Not Available"
"LMK105BJ104KV-F","Taiyo Yuden","587-1227-1-ND","","","Cut Tape (CT)","Active","10","0.03600","$0.36","25361430","17 Weeks","CAP CER 0.1UF 10V X5R 0402","ROHS3 Compliant","Lead free","Not Available"
"JMK105BJ105KV-F","Taiyo Yuden","587-1231-1-ND","","","Cut Tape (CT)","Active","10","0.04100","$0.41","9647127","17 Weeks","CAP CER 1UF 6.3V X5R 0402","ROHS3 Compliant","Lead free","Not Available"
